humidity,temperature,voltage,time,ip
42.7,25.875,23.68,2025-10-20 16:53:03.397567,17
42.7,25.8125,23.68,2025-10-20 16:53:03.723262,17
42.7,25.8125,23.67,2025-10-20 16:53:04.122339,17
42.7,25.8125,23.73,2025-10-20 16:53:04.863023,17
42.7,25.8125,23.71,2025-10-20 16:53:06.186997,17
42.7,25.8125,23.73,2025-10-20 16:53:06.936525,17
42.7,25.8125,23.71,2025-10-20 16:53:08.307507,17
42.7,25.8125,23.63,2025-10-20 16:53:08.983237,17
42.7,25.8125,23.74,2025-10-20 16:53:09.720251,17
42.7,25.8125,23.70,2025-10-20 16:53:11.118556,17
42.7,25.8125,23.67,2025-10-20 16:53:11.781921,17
42.8,25.8125,23.67,2025-10-20 16:53:12.482977,17
42.8,25.8125,23.74,2025-10-20 16:53:12.519161,17
42.8,25.8125,23.70,2025-10-20 16:53:13.183360,17
42.8,25.8125,23.67,2025-10-20 16:53:13.901487,17
42.8,25.8125,23.71,2025-10-20 16:53:14.615114,17
42.8,25.8125,23.70,2025-10-20 16:53:16.019408,17
42.8,25.8125,23.67,2025-10-20 16:53:16.725643,17
42.8,25.8125,23.71,2025-10-20 16:53:17.399876,17
42.8,25.8125,23.67,2025-10-20 16:53:18.127552,17
42.8,25.8125,23.71,2025-10-20 16:53:18.826948,17
42.8,25.8125,23.73,2025-10-20 16:53:19.523418,17
42.8,25.8125,23.74,2025-10-20 16:53:20.195071,17
42.8,25.8125,23.71,2025-10-20 16:53:20.920266,17
42.8,25.8125,23.68,2025-10-20 16:53:21.624042,17
42.8,25.8125,23.74,2025-10-20 16:53:22.311117,17
42.8,25.8125,23.73,2025-10-20 16:53:23.236995,17
42.8,25.8125,23.71,2025-10-20 16:53:23.732172,17
42.8,25.8125,23.73,2025-10-20 16:53:25.096032,17
42.8,25.8125,23.71,2025-10-20 16:53:25.787746,17
42.8,25.875,23.71,2025-10-20 16:53:26.626559,17
42.8,25.875,23.70,2025-10-20 16:53:27.216232,17
42.8,25.875,23.71,2025-10-20 16:53:27.917835,17
42.8,25.875,23.70,2025-10-20 16:53:28.602718,17
42.8,25.875,23.71,2025-10-20 16:53:29.312837,17
42.8,25.8125,23.71,2025-10-20 16:53:29.654060,17
42.8,25.8125,23.68,2025-10-20 16:53:30.006921,17
42.8,25.8125,23.70,2025-10-20 16:53:30.727847,17
42.8,25.8125,23.71,2025-10-20 16:53:31.383080,17
42.8,25.8125,23.73,2025-10-20 16:53:32.131337,17
42.8,25.875,23.73,2025-10-20 16:53:32.597947,17
42.8,25.875,23.76,2025-10-20 16:53:32.836472,17
42.8,25.875,23.73,2025-10-20 16:53:33.504653,17
42.8,25.875,23.70,2025-10-20 16:53:34.234464,17
